date,country,city,activeUsers,newUsers
2024-09-13,Japan,Osaka,1,1
2024-09-13,Indonesia,(not set),1,1
2024-09-14,Japan,Kitakyushu,1,1
2024-09-15,Germany,Steinfeld,1,1
2024-09-17,United States,New York,2,2
2024-09-18,India,(not set),1,1
2024-09-18,Singapore,Singapore,1,1
2024-09-18,United States,(not set),2,2
2024-09-19,Japan,(not set),1,1
2024-09-19,Japan,Kawasaki,1,1
2024-09-20,United States,New York,1,1
2024-09-21,Türkiye,Istanbul,1,1
2024-09-21,Japan,Kawasaki,1,0
2024-09-21,Japan,Shibuya City,2,2
2024-09-21,Germany,(not set),1,1
2024-09-21,Japan,(not set),1,1
2024-09-22,United States,Bloomsburg,1,1
2024-09-22,United States,Ocala,1,0
2024-09-24,United States,New York,1,0
2024-09-25,Japan,Chiyoda City,1,0
